# Catalog of NOx point sources v2.0
# 
# Contact: steffen.beirle@mpic.de
# 
# Covered time range: May 2018 to Dec 2018 
# Used datasets:
# - TROPOMI NO2 measurements: https://data-portal.s5p-pal.com/products/no2.html
# - ERA5 wind fields: https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5
# - Global power plant database (GPPD): https://datasets.wri.org/dataset/globalpowerplantdatabase
# - World cities database (WCD): https://simplemaps.com/data/world-cities
# 
# Version 2 of the catalog provides a fundamental update compared to version 1.
# Several improvements have been implemented resulting in generally higher and
# more realistic emissions.
# A detailed description of the dataset is to be submitted to ESSD.
# 
# Data:
# Column 1: Rank of NOx point source
# Column 2: Latitude [degree North] of point source
# Column 3: Longitude [degree East] of point source
# Column 4: NOx emissions [kg/s]
# Column 5: NOx emissions error [kg/s]
# Column 6: Number of months (within the considered time range)
#           where significant emissions could be detected.
# Column 7: Combustion power plants above 100 MW within 15 km
#           as listed in GPPD, separated by semicolon.
#           Spelling exactly as in GPPD.
#           No entry if no match to GPPD was found.
#           Primarily based on GPPD v1.3, 
#           but extended by entries from v1.2 if missing in 1.3
#           (labelled as "v1.2")
# Column 8: Cities with more than 100,000 inhabitants within 15 km
#           as listed in WCD, separated by semicolon.
#           Spelling exactly as in WCD.
#           No entry if no match to WCD was found.
rank,lat,lon,E,err,months_significant,power_plants,cities
1,-26.2875,29.1625,2.7973,0.4788,8,Matla power station;Kriel power station,
2,-26.5625,29.1625,2.3701,0.3757,8,,
3,-23.6875,27.5875,2.6368,0.6271,8,Matimba power station,
4,-26.7375,27.9875,2.0336,0.4582,8,Lethabo power station,Vereeniging
5,-27.1125,29.7875,2.0572,0.3300,8,Majuba power station,
6,22.3875,82.6875,2.2768,0.6982,6,KORBA STPS;KORBA-WEST;KORBA-EAST;KASAIPALLI;SALORA,
7,40.6375,109.7375,1.8327,0.5582,8,Baotou East Hope power station;Baotou Hexi power station;Huaneng Baotou-2 power station;Huaneng Baotou-1 power station;Baotou Olefins power station;Baotou Works power station,Baotou
8,21.0125,107.1375,1.6688,0.4894,3,Quang Ninh 1,Hạ Long;Cẩm Phả
9,-26.0875,28.9875,1.9528,0.3555,8,Kendal power station,
10,-32.4125,151.0125,1.8683,0.3425,7,Bayswater;Liddell,
11,35.4375,51.8625,1.2732,0.3993,6,Damavand C.C.,
12,1.2875,103.7125,1.8315,0.7153,4,PowerSeraya Pulau Seraya Oil Power Station Singapore;PowerSeraya Pulau Seraya CCGT Cogen Power Plant Singapore;Tuas CCGT Power Station Singapore;Keppel Merlimau Cogen Power Plant Singapore;SembCorp Pulau Sakra CCGT Cogen Power Station Singapore;Tuas Oil Power Station Singapore;Jurong Island - PLP CCGT Power Plant Singapore;Pasir Panjang Gas Turbine Power Station Singapore;PowerSeraya OCGT Power Plant Singapore,Singapore
13,27.5625,52.5375,1.4056,0.3729,8,Mobin Petroshimi,
14,41.1375,122.9625,1.3768,0.1834,7,Anshan Steel Company No 2 power station,Anshan
15,27.0375,49.5625,1.3645,0.3337,8,BERI GP;JUBAIL COGEN (JEC),Al Jubayl
16,20.4125,105.9125,1.0956,0.3224,3,,
17,21.7875,84.0625,1.1282,0.3552,4,STERLITE TPP,
18,25.9625,56.1125,1.1938,0.4621,7,,
19,57.1125,61.7125,1.2765,0.2372,4,Reftinskaya GRES,
20,36.3125,58.8375,0.9877,0.2500,6,Neishabour,Neyshābūr
21,51.8875,75.3875,1.0048,0.1327,6,Ekibastuz-1 power station,
22,-25.9875,29.3625,1.1520,0.2239,8,Duvha power station,
23,30.6375,114.4625,1.4177,0.3607,4,Huaneng Yangluo power station;Qingshan power station;WISCO Qingshan power station;Wuhan Ethylene power station,
24,11.5625,79.4375,1.1518,0.3917,7,NEYVELI ST II;NEYVELI ST I;NEYVELI TPS EXP -II;NEYVELI FST EXT;NEYVELI TPS(Z),
25,18.7625,79.4625,1.3345,0.4089,6,R_GUNDEM STPS;SINGARENI TPP,Rāmgundam
26,22.3125,69.8625,1.1821,0.2588,6,SIKKA REP.;HAZIRA CCCP,
27,21.0625,107.3375,0.9537,0.3272,5,Mong Duong 2;Mong Duong 1;Cam Pha I,Cẩm Phả
28,24.4125,47.0125,1.2648,0.2329,8,Riyadh 10,
