# Catalog of NOx point sources v2.0
# 
# Contact: steffen.beirle@mpic.de
# 
# Covered time range: Jan 2019 to Dec 2019 
# Used datasets:
# - TROPOMI NO2 measurements: https://data-portal.s5p-pal.com/products/no2.html
# - ERA5 wind fields: https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5
# - Global power plant database (GPPD): https://datasets.wri.org/dataset/globalpowerplantdatabase
# - World cities database (WCD): https://simplemaps.com/data/world-cities
# 
# Version 2 of the catalog provides a fundamental update compared to version 1.
# Several improvements have been implemented resulting in generally higher and
# more realistic emissions.
# A detailed description of the dataset is to be submitted to ESSD.
# 
# Data:
# Column 1: Rank of NOx point source
# Column 2: Latitude [degree North] of point source
# Column 3: Longitude [degree East] of point source
# Column 4: NOx emissions [kg/s]
# Column 5: NOx emissions error [kg/s]
# Column 6: Number of months (within the considered time range)
#           where significant emissions could be detected.
# Column 7: Combustion power plants above 100 MW within 15 km
#           as listed in GPPD, separated by semicolon.
#           Spelling exactly as in GPPD.
#           No entry if no match to GPPD was found.
#           Primarily based on GPPD v1.3, 
#           but extended by entries from v1.2 if missing in 1.3
#           (labelled as "v1.2")
# Column 8: Cities with more than 100,000 inhabitants within 15 km
#           as listed in WCD, separated by semicolon.
#           Spelling exactly as in WCD.
#           No entry if no match to WCD was found.
rank,lat,lon,E,err,months_significant,power_plants,cities
1,-26.2875,29.1625,3.2794,0.6236,12,Matla power station;Kriel power station,
2,-26.5625,29.1625,2.8569,0.5018,12,,
3,-23.6875,27.5875,2.5841,0.6786,11,Matimba power station,
4,-26.7375,27.9875,1.9868,0.4617,11,Lethabo power station,Vereeniging
5,-27.1125,29.7875,2.4101,0.4104,12,Majuba power station,
6,22.3875,82.6875,2.1677,0.6537,8,KORBA STPS;KORBA-WEST;KORBA-EAST;KASAIPALLI;SALORA,
7,40.6375,109.7375,2.0279,0.6175,11,Baotou East Hope power station;Baotou Hexi power station;Huaneng Baotou-2 power station;Huaneng Baotou-1 power station;Baotou Olefins power station;Baotou Works power station,Baotou
8,21.0125,107.1375,2.1201,0.5901,4,Quang Ninh 1,Hạ Long;Cẩm Phả
9,-26.0875,28.9875,1.8697,0.3790,12,Kendal power station,
10,-32.4125,151.0125,2.2617,0.4641,12,Bayswater;Liddell,
11,35.4375,51.8625,1.4216,0.4665,5,Damavand C.C.,
12,1.2875,103.7125,1.8065,0.6739,4,PowerSeraya Pulau Seraya Oil Power Station Singapore;PowerSeraya Pulau Seraya CCGT Cogen Power Plant Singapore;Tuas CCGT Power Station Singapore;Keppel Merlimau Cogen Power Plant Singapore;SembCorp Pulau Sakra CCGT Cogen Power Station Singapore;Tuas Oil Power Station Singapore;Jurong Island - PLP CCGT Power Plant Singapore;Pasir Panjang Gas Turbine Power Station Singapore;PowerSeraya OCGT Power Plant Singapore,Singapore
13,27.5625,52.5375,1.3734,0.3575,11,Mobin Petroshimi,
14,41.1375,122.9625,1.4449,0.1616,10,Anshan Steel Company No 2 power station,Anshan
15,27.0375,49.5625,1.5239,0.4127,12,BERI GP;JUBAIL COGEN (JEC),Al Jubayl
16,20.4125,105.9125,1.4111,0.3874,4,,
17,21.7875,84.0625,1.3607,0.4364,8,STERLITE TPP,
18,25.9625,56.1125,1.3771,0.5248,10,,
19,57.1125,61.7125,,,4,Reftinskaya GRES,
