# Catalog of NOx point sources v2.0
# 
# Contact: steffen.beirle@mpic.de
# 
# Covered time range: Jan 2021 to Nov 2021 
# Used datasets:
# - TROPOMI NO2 measurements: https://data-portal.s5p-pal.com/products/no2.html
# - ERA5 wind fields: https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5
# - Global power plant database (GPPD): https://datasets.wri.org/dataset/globalpowerplantdatabase
# - World cities database (WCD): https://simplemaps.com/data/world-cities
# 
# Version 2 of the catalog provides a fundamental update compared to version 1.
# Several improvements have been implemented resulting in generally higher and
# more realistic emissions.
# A detailed description of the dataset is to be submitted to ESSD.
# 
# Data:
# Column 1: Rank of NOx point source
# Column 2: Latitude [degree North] of point source
# Column 3: Longitude [degree East] of point source
# Column 4: NOx emissions [kg/s]
# Column 5: NOx emissions error [kg/s]
# Column 6: Number of months (within the considered time range)
#           where significant emissions could be detected.
# Column 7: Combustion power plants above 100 MW within 15 km
#           as listed in GPPD, separated by semicolon.
#           Spelling exactly as in GPPD.
#           No entry if no match to GPPD was found.
#           Primarily based on GPPD v1.3, 
#           but extended by entries from v1.2 if missing in 1.3
#           (labelled as "v1.2")
# Column 8: Cities with more than 100,000 inhabitants within 15 km
#           as listed in WCD, separated by semicolon.
#           Spelling exactly as in WCD.
#           No entry if no match to WCD was found.
rank,lat,lon,E,err,months_significant,power_plants,cities
1,-26.2875,29.1625,2.5636,0.4831,10,Matla power station;Kriel power station,
2,-26.5625,29.1625,2.4349,0.4299,9,,
3,-23.6875,27.5875,2.4051,0.5419,8,Matimba power station,
4,-26.7375,27.9875,2.1737,0.5067,9,Lethabo power station,Vereeniging
5,-27.1125,29.7875,1.8598,0.3273,10,Majuba power station,
6,22.3875,82.6875,1.7674,0.5827,9,KORBA STPS;KORBA-WEST;KORBA-EAST;KASAIPALLI;SALORA,
7,40.6375,109.7375,1.7906,0.5901,11,Baotou East Hope power station;Baotou Hexi power station;Huaneng Baotou-2 power station;Huaneng Baotou-1 power station;Baotou Olefins power station;Baotou Works power station,Baotou
8,21.0125,107.1375,1.2942,0.4198,6,Quang Ninh 1,Hạ Long;Cẩm Phả
9,-26.0875,28.9875,1.5170,0.3116,9,Kendal power station,
10,-32.4125,151.0125,1.3112,0.2384,9,Bayswater;Liddell,
11,35.4375,51.8625,2.0345,0.6436,7,Damavand C.C.,
12,1.2875,103.7125,1.7569,0.6701,6,PowerSeraya Pulau Seraya Oil Power Station Singapore;PowerSeraya Pulau Seraya CCGT Cogen Power Plant Singapore;Tuas CCGT Power Station Singapore;Keppel Merlimau Cogen Power Plant Singapore;SembCorp Pulau Sakra CCGT Cogen Power Station Singapore;Tuas Oil Power Station Singapore;Jurong Island - PLP CCGT Power Plant Singapore;Pasir Panjang Gas Turbine Power Station Singapore;PowerSeraya OCGT Power Plant Singapore,Singapore
13,27.5625,52.5375,2.0969,0.5718,11,Mobin Petroshimi,
14,41.1375,122.9625,1.5619,0.1767,9,Anshan Steel Company No 2 power station,Anshan
15,27.0375,49.5625,1.4048,0.3477,11,BERI GP;JUBAIL COGEN (JEC),Al Jubayl
16,20.4125,105.9125,1.4604,0.4362,5,,
17,21.7875,84.0625,1.1904,0.3718,5,STERLITE TPP,
18,25.9625,56.1125,1.3097,0.4848,10,,
19,57.1125,61.7125,1.4540,0.1871,6,Reftinskaya GRES,
20,36.3125,58.8375,1.5123,0.3873,10,Neishabour,Neyshābūr
21,51.8875,75.3875,1.5045,0.1988,7,Ekibastuz-1 power station,
22,-25.9875,29.3625,1.2349,0.2621,9,Duvha power station,
23,30.6375,114.4625,1.1635,0.2231,9,Huaneng Yangluo power station;Qingshan power station;WISCO Qingshan power station;Wuhan Ethylene power station,
24,11.5625,79.4375,1.3417,0.4573,9,NEYVELI ST II;NEYVELI ST I;NEYVELI TPS EXP -II;NEYVELI FST EXT;NEYVELI TPS(Z),
25,18.7625,79.4625,1.1664,0.3880,10,R_GUNDEM STPS;SINGARENI TPP,Rāmgundam
26,22.3125,69.8625,1.1891,0.2403,8,SIKKA REP.;HAZIRA CCCP,
27,21.0625,107.3375,1.0536,0.3192,7,Mong Duong 2;Mong Duong 1;Cam Pha I,Cẩm Phả
28,24.4125,47.0125,1.2811,0.2345,11,Riyadh 10,
29,-26.7875,29.3625,0.9149,0.1705,9,Tutuka power station,
30,35.5125,129.3375,1.0882,0.1848,7,Ulsan;Yeongnam,Ulsan
31,15.1875,76.6625,1.2097,0.3689,9,BELLARY TPS;TORANGALLU EXT;TORANGALLU IMP,
32,21.2625,79.1125,1.1476,0.3753,8,KORADI;K_KHEDA II,Nāgpur
33,20.0375,-99.2625,1.0486,0.6978,8,Francisco Pérez Ríos (Tula);Tula;Pemex-Refinación  Refinería Miguel Hidalgo,
34,14.6375,101.1125,1.0800,0.3707,5,Kaeng Khoi 2,
35,20.0875,105.8875,1.0820,0.3061,5,,
36,21.0875,85.0875,1.0115,0.3530,9,TALCHER STPS;DERANG,
37,24.9375,47.0625,1.1725,0.1993,11,Riyadh 9,
38,22.1375,82.2875,0.8939,0.2808,7,SIPAT STPS,
39,19.9875,79.2875,1.0774,0.3508,7,CHANDRAPUR_Coal;DHARIWAL INF TPP;TADALI,Chānda
40,41.2875,123.7125,1.0388,0.1746,10,,Benxi
41,32.7875,51.4875,1.1117,0.2370,9,Shahid M. Montazeri,Khomeynī Shahr;Shāhīn Shahr
42,36.4625,59.4125,1.3175,0.3255,9,Ferdosi C.C.;Touss,
43,18.2875,99.7625,0.8257,0.3214,6,Mae Mah,
44,22.8125,69.5375,0.6790,0.1507,10,MUNDRA TPP;MUNDRA UMPP,
45,31.9875,120.6375,0.8790,0.1459,8,Jiangsu Nantong power station;Zhangjiagang Shazhou power station;Jiangsu Zhangjiagang Huaxing;Zhangjiagang - Huaxing Gas;Tianshenggan power station;Zhangjiagang Shagang power station,Yangshe
46,39.3875,106.9375,0.9455,0.2331,10,Ordos Power Qipanjing power station;Huaneng Wuhai Haibowan power station;Ordos Resources Qipanjing power station;Shenhua Wuhai Xilaifeng power station,
47,23.4625,87.1375,1.1403,0.3413,10,MEJIA;MEJIA TPS EXT;DURGAPUR STEEL TPS;DURGAPUR,
48,12.7125,101.1625,0.8689,0.3146,9,BLCP Power;Rayong;Gheco One power station;Glow Energy power complex;Glow Energy Phase 5 Power Plant;Glow Energy Phase 2 Power Plant;CUP-1;Glow Demin;CUP-2,
49,53.4375,59.0375,0.9510,0.1306,7,CHP Plant of MMK,Magnitogorsk
50,24.3875,109.3875,0.6072,0.2100,4,Liuzhou City power station,Liuzhou
51,19.3375,105.7875,0.8991,0.3024,7,Nghi Son 1,
52,24.6875,74.6625,0.8159,0.2242,10,,
53,-24.3375,150.6375,0.5886,0.1257,6,Callide C;Callide B,
54,6.9625,79.9375,0.8774,0.3518,4,CEB Kelantitissa;Yugadanavi;Sojitz Kelanitissa;Sapugaskanda,Colombo;Sri Jayewardenepura Kotte
55,39.6125,126.2875,0.6622,0.1429,5,Pukchang power station,
56,52.1125,76.8625,0.8620,0.1099,7,Aksu power station,
57,36.2125,44.0125,1.0196,0.2429,11,,Erbil
58,40.1125,65.3375,0.8488,0.1263,11,Navoi,Navoiy
59,24.7625,87.8875,0.6241,0.1898,8,FARAKKA STPS,
60,30.5625,47.4125,0.8749,0.1145,11,,
