# Catalog of NOx point sources v2.0
# 
# Contact: steffen.beirle@mpic.de
# 
# Covered time range: May 2018 to Nov 2021 
# Used datasets:
# - TROPOMI NO2 measurements: https://data-portal.s5p-pal.com/products/no2.html
# - ERA5 wind fields: https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5
# - Global power plant database (GPPD): https://datasets.wri.org/dataset/globalpowerplantdatabase
# - World cities database (WCD): https://simplemaps.com/data/world-cities
# 
# Version 2 of the catalog provides a fundamental update compared to version 1.
# Several improvements have been implemented resulting in generally higher and
# more realistic emissions.
# A detailed description of the dataset is to be submitted to ESSD.
# 
# Data:
# Column 1: Rank of NOx point source
# Column 2: Latitude [degree North] of point source
# Column 3: Longitude [degree East] of point source
# Column 4: NOx emissions [kg/s]
# Column 5: NOx emissions error [kg/s]
# Column 6: Number of months (within the considered time range)
#           where significant emissions could be detected.
# Column 7: Combustion power plants above 100 MW within 15 km
#           as listed in GPPD, separated by semicolon.
#           Spelling exactly as in GPPD.
#           No entry if no match to GPPD was found.
#           Primarily based on GPPD v1.3, 
#           but extended by entries from v1.2 if missing in 1.3
#           (labelled as "v1.2")
# Column 8: Cities with more than 100,000 inhabitants within 15 km
#           as listed in WCD, separated by semicolon.
#           Spelling exactly as in WCD.
#           No entry if no match to WCD was found.
rank,lat,lon,E,err,months_significant,power_plants,cities
1,-26.2875,29.1625,2.7620,0.4669,39,Matla power station;Kriel power station,
2,-26.5625,29.1625,2.4736,0.3903,40,,
3,-23.6875,27.5875,2.4716,0.5567,38,Matimba power station,
4,-26.7375,27.9875,2.0270,0.4445,39,Lethabo power station,Vereeniging
5,-27.1125,29.7875,2.0266,0.3070,40,Majuba power station,
6,22.3875,82.6875,2.0085,0.5908,32,KORBA STPS;KORBA-WEST;KORBA-EAST;KASAIPALLI;SALORA,
7,40.6375,109.7375,1.8108,0.5666,40,Baotou East Hope power station;Baotou Hexi power station;Huaneng Baotou-2 power station;Huaneng Baotou-1 power station;Baotou Olefins power station;Baotou Works power station,Baotou
8,21.0125,107.1375,1.7950,0.4178,19,Quang Ninh 1,Hạ Long;Cẩm Phả
9,-26.0875,28.9875,1.7435,0.3163,38,Kendal power station,
10,-32.4125,151.0125,1.7283,0.2969,37,Bayswater;Liddell,
11,35.4375,51.8625,1.7002,0.5019,26,Damavand C.C.,
12,1.2875,103.7125,1.6964,0.6108,21,PowerSeraya Pulau Seraya Oil Power Station Singapore;PowerSeraya Pulau Seraya CCGT Cogen Power Plant Singapore;Tuas CCGT Power Station Singapore;Keppel Merlimau Cogen Power Plant Singapore;SembCorp Pulau Sakra CCGT Cogen Power Station Singapore;Tuas Oil Power Station Singapore;Jurong Island - PLP CCGT Power Plant Singapore;Pasir Panjang Gas Turbine Power Station Singapore;PowerSeraya OCGT Power Plant Singapore,Singapore
13,27.5625,52.5375,1.6647,0.4111,41,Mobin Petroshimi,
14,41.1375,122.9625,1.5420,0.1545,36,Anshan Steel Company No 2 power station,Anshan
15,27.0375,49.5625,1.4612,0.3785,43,BERI GP;JUBAIL COGEN (JEC),Al Jubayl
16,20.4125,105.9125,1.3492,0.3261,17,,
17,21.7875,84.0625,1.3414,0.3898,24,STERLITE TPP,
18,25.9625,56.1125,1.3398,0.4888,36,,
19,57.1125,61.7125,1.2344,0.1193,19,Reftinskaya GRES,
20,36.3125,58.8375,1.2329,0.2963,31,Neishabour,Neyshābūr
21,51.8875,75.3875,1.2086,0.1311,29,Ekibastuz-1 power station,
22,-25.9875,29.3625,1.2057,0.2253,34,Duvha power station,
23,30.6375,114.4625,1.1984,0.2366,30,Huaneng Yangluo power station;Qingshan power station;WISCO Qingshan power station;Wuhan Ethylene power station,
24,11.5625,79.4375,1.1946,0.3867,33,NEYVELI ST II;NEYVELI ST I;NEYVELI TPS EXP -II;NEYVELI FST EXT;NEYVELI TPS(Z),
25,18.7625,79.4625,1.1916,0.3631,37,R_GUNDEM STPS;SINGARENI TPP,Rāmgundam
26,22.3125,69.8625,1.1779,0.2136,33,SIKKA REP.;HAZIRA CCCP,
27,21.0625,107.3375,1.1775,0.2916,23,Mong Duong 2;Mong Duong 1;Cam Pha I,Cẩm Phả
28,24.4125,47.0125,1.1718,0.2006,40,Riyadh 10,
29,-26.7875,29.3625,1.1652,0.1842,36,Tutuka power station,
30,35.5125,129.3375,1.1327,0.1983,31,Ulsan;Yeongnam,Ulsan
31,15.1875,76.6625,1.1284,0.3292,31,BELLARY TPS;TORANGALLU EXT;TORANGALLU IMP,
32,21.2625,79.1125,1.1240,0.3315,31,KORADI;K_KHEDA II,Nāgpur
33,20.0375,-99.2625,1.0989,0.7450,36,Francisco Pérez Ríos (Tula);Tula;Pemex-Refinación  Refinería Miguel Hidalgo,
34,14.6375,101.1125,1.0964,0.3108,26,Kaeng Khoi 2,
35,20.0875,105.8875,1.0866,0.2687,23,,
36,21.0875,85.0875,1.0790,0.3454,27,TALCHER STPS;DERANG,
37,24.9375,47.0625,1.0341,0.1612,41,Riyadh 9,
38,22.1375,82.2875,1.0323,0.2941,31,SIPAT STPS,
39,19.9875,79.2875,1.0308,0.3104,32,CHANDRAPUR_Coal;DHARIWAL INF TPP;TADALI,Chānda
40,41.2875,123.7125,1.0298,0.1593,36,,Benxi
41,32.7875,51.4875,1.0199,0.2093,35,Shahid M. Montazeri,Khomeynī Shahr;Shāhīn Shahr
42,36.4625,59.4125,0.9926,0.2462,26,Ferdosi C.C.;Touss,
43,18.2875,99.7625,0.9871,0.3467,21,Mae Mah,
44,22.8125,69.5375,0.9867,0.2037,39,MUNDRA TPP;MUNDRA UMPP,
45,31.9875,120.6375,0.9746,0.1511,34,Jiangsu Nantong power station;Zhangjiagang Shazhou power station;Jiangsu Zhangjiagang Huaxing;Zhangjiagang - Huaxing Gas;Tianshenggan power station;Zhangjiagang Shagang power station,Yangshe
46,39.3875,106.9375,0.9532,0.2480,38,Ordos Power Qipanjing power station;Huaneng Wuhai Haibowan power station;Ordos Resources Qipanjing power station;Shenhua Wuhai Xilaifeng power station,
47,23.4625,87.1375,0.9243,0.2553,34,MEJIA;MEJIA TPS EXT;DURGAPUR STEEL TPS;DURGAPUR,
48,12.7125,101.1625,0.9128,0.2998,28,BLCP Power;Rayong;Gheco One power station;Glow Energy power complex;Glow Energy Phase 5 Power Plant;Glow Energy Phase 2 Power Plant;CUP-1;Glow Demin;CUP-2,
49,53.4375,59.0375,0.9103,0.1094,26,CHP Plant of MMK,Magnitogorsk
50,24.3875,109.3875,0.9072,0.2157,13,Liuzhou City power station,Liuzhou
51,19.3375,105.7875,0.8819,0.3052,29,Nghi Son 1,
52,24.6875,74.6625,0.8765,0.2308,34,,
53,-24.3375,150.6375,0.8742,0.1717,35,Callide C;Callide B,
54,6.9625,79.9375,0.8629,0.3219,17,CEB Kelantitissa;Yugadanavi;Sojitz Kelanitissa;Sapugaskanda,Colombo;Sri Jayewardenepura Kotte
55,39.6125,126.2875,0.8475,0.1279,25,Pukchang power station,
56,52.1125,76.8625,0.8326,0.0939,27,Aksu power station,
57,36.2125,44.0125,0.8285,0.1946,34,,Erbil
58,40.1125,65.3375,0.8014,0.1133,42,Navoi,Navoiy
59,24.7625,87.8875,0.7959,0.2158,30,FARAKKA STPS,
60,30.5625,47.4125,0.7909,0.1062,42,,
61,55.1875,61.4125,0.7805,0.0715,25,Chelyabinsk CHP-1;Chelyabinsk GRES,Chelyabinsk
62,35.1625,119.3625,0.7422,0.1952,42,Rizhao Iron and Steel Cogen power station,
63,13.2375,80.3125,0.7416,0.2101,37,VALLUR ntpc/ntecl;NORTH CHENNAI EXTENSION;NORTH CHENNAI,
64,33.9875,49.5125,0.7414,0.2825,36,Shazand,
65,51.4875,6.7375,0.7347,0.0890,26,KW Voerde;KW Walsum;KW West;Huckingen;Duisburg Hamborn;Duisburg Ruhrort;HKW III/B;Kraftwerk N 230;G-Kraftwerk,Duisburg;Oberhausen;Mülheim;Bottrop;Moers
66,55.9875,92.9125,0.7329,0.0956,19,,Krasnoyarsk
67,11.3125,108.8125,0.7226,0.1532,35,Vinh Tan 2,
68,29.0375,48.1375,0.7213,0.1335,35,Shuiba North;Shuiba SPSS;Shuwaikh,
69,14.3375,80.1375,0.7204,0.2045,37,DAMODARAM SANJEEVAIAH;PAINAMPURAM;SEMBCORP GAYATRI;SIMHAPURI TPP;THAMMINAPATNAM TPP,
70,35.0375,136.8625,0.7201,0.0998,32,Chita;Shin Nagoya;Chita Daini;Nishi Nagoya;Nagoya power station;Nagoya Power Plant 2,Nagoya;Kariya;Tōkai
71,51.0125,6.6375,0.7135,0.1020,25,Niederaussem power station;BoA 2;Neurath power station;Frimmersdorf power station,
72,2.6125,101.7125,0.7114,0.3450,26,Jimah power station;Tuanku Jaafar (PDI);Tyanku Jaafar (PDII),
