facility_id,no2_plant_mean,no2_plant_std,no2_n_obs,no2_bg_mean,no2_n_obs_bg,no2_delta_mean,no2_delta_std,no2_n_obs_both
adana-cimento,4.0093445022648666e-05,2.1728077259482407e-05,6,1.5606985584781796e-05,8,2.325087704472632e-05,2.1737135844421248e-05,6
afyon-cimento,1.997282925003674e-05,7.004745092563863e-06,4,1.893908829515567e-05,5,1.958711209226749e-06,8.975855169662275e-06,4
akcansa-buyukcekmece,3.56489144905936e-05,8.3318889206865e-06,7,1.8092517393597518e-05,8,1.677554869924539e-05,9.799844323676454e-06,7
akcansa-canakkale,2.5062071602275993e-05,5.8976411835771675e-06,7,1.5818746457322657e-05,6,8.05874697107356e-06,3.4863039801205366e-06,6
akcansa-ladik,1.605818363259459e-05,4.705799296139725e-06,8,1.7965752476811758e-05,8,-1.9075688442171668e-06,8.981801354631836e-06,8
asas-akyazi,2.8715714506688528e-05,7.3048037840653555e-06,5,1.7154982093156184e-05,7,1.2760760728269816e-05,7.2862837698982834e-06,5
asilcelik-izmit,5.796124293868031e-05,2.717614698687435e-05,7,1.7264499547309242e-05,7,4.069674339137107e-05,2.4795128470904978e-05,7
askale-erzurum,1.7839015526988078e-05,4.443815738610801e-06,6,1.1406236884189033e-05,6,6.432778642799046e-06,9.340860425626314e-06,6
assan-tuzla,7.079404635338246e-05,4.477375933131382e-05,7,1.7769087207852863e-05,7,5.3024959145529594e-05,4.018180191570547e-05,7
bagfas-bandirma,2.6409897535424015e-05,5.077584398378103e-06,7,2.6100059767486527e-05,5,-1.9712922949111087e-06,9.071704760147703e-06,5
baticim-izmir,4.5016020521870814e-05,1.1685258836978032e-05,7,1.7618806331094155e-05,7,2.739721419077666e-05,1.2722219604643185e-05,7
batisoke-soke,3.2514147408489536e-05,1.271150747560673e-05,7,3.278855703164092e-05,7,-2.7440962315137896e-07,2.2290215467851848e-05,7
bolu-cimento,2.8734087209159043e-05,7.610959890795719e-06,6,2.221304293925641e-05,7,5.984491963317851e-06,1.197223627788688e-05,6
borcelik-gemlik,3.861180240554469e-05,1.0821544043368272e-05,7,5.067463748023978e-05,7,-1.2062835074695094e-05,2.4069414035099157e-05,7
bursa-cimento,4.872633378129519e-05,1.2526383879644347e-05,7,6.186695645737927e-05,7,-1.3140622676084085e-05,4.531575047874669e-05,7
cimentas-edirne,2.1245321590868116e-05,5.7992193081825725e-06,8,1.7674087606186124e-05,6,3.562102089442002e-06,3.8373952269309215e-06,6
cimentas-elazig,2.30760912624343e-05,4.254479686158988e-06,6,9.72826671841176e-06,4,8.623017796101825e-06,5.601841991232389e-07,3
cimentas-izmir,6.94953539225805e-05,1.126763313602429e-05,7,2.502776234385757e-05,7,4.446759157872293e-05,9.354082791100344e-06,7
cimko-adiyaman,3.248390567023307e-05,1.1139077846674124e-05,6,3.0467644743718363e-05,6,2.016260926514709e-06,1.507005863990235e-05,6
cimsa-eskisehir,3.346959920236259e-05,1.6635042069558428e-05,4,1.7147658500756995e-05,7,1.770817689816795e-05,1.1780768530562187e-05,4
cimsa-kayseri,3.716150285981712e-05,7.758751581949154e-06,8,9.660541763878427e-06,8,2.7500961095938692e-05,1.2196181282322725e-05,8
cimsa-mersin,3.2769141398603097e-05,3.879995449931922e-06,6,1.4399437168322038e-05,5,1.7520250003144612e-05,6.008937421333897e-06,5
cimsa-nigde,3.386556345503777e-05,2.4644960170395972e-06,5,2.072599060435702e-05,6,1.1806244947365485e-05,1.1303054878393018e-06,5
colakoglu-gebze,5.4643879896805934e-05,2.1101156840571265e-05,6,1.8895359711937738e-05,7,3.585676010213016e-05,1.7753283462197753e-05,6
denizli-cimento,3.985759888434716e-05,1.1098138342333731e-05,7,1.840054762526831e-05,7,2.145705125907885e-05,6.199131503462721e-06,7
diler-aliaga,3.799675167621379e-05,4.1564124245131265e-06,7,1.662397023340288e-05,7,2.1372781442810913e-05,7.181741450134209e-06,7
ekinciler-iskenderun,5.472731754707638e-05,2.6220691123538742e-05,8,3.14529115712503e-05,8,2.3274405975826085e-05,3.1848257589423096e-05,8
erdemir-eregli,2.6893046716785257e-05,9.135378175293535e-06,7,1.4330392267376218e-05,7,1.2562654449409041e-05,1.1157324661948608e-05,7
eti-aluminyum-seydisehir,1.530243685010646e-05,1.3185929314778978e-05,6,1.768167294358136e-05,7,-3.1220414863734427e-06,1.5144237208705487e-05,6
gemlik-gubre,4.1050735100205725e-05,1.0821758191858824e-05,7,4.642464721525487e-05,7,-5.3739121150491494e-06,2.2249494586011367e-05,7
goltas-isparta,2.1798019224661404e-05,7.2242457383946385e-06,5,1.562546536401247e-05,7,5.421078458311967e-06,2.763277913218379e-06,5
gubretas-izmit,5.599210947236445e-05,3.1054614594838886e-05,7,1.5429119620031478e-05,7,4.0562989852332976e-05,2.8573917044436003e-05,7
habas-aliaga,3.990730692748912e-05,4.5352130107649595e-06,7,1.6781175418145722e-05,7,2.3126131509343395e-05,7.4809346111980025e-06,7
icdas-biga,2.7451351862899693e-05,6.817272098774349e-06,7,1.7845902350797716e-05,7,9.605449512101976e-06,7.155443420050646e-06,7
isdemir-iskenderun,9.101464183913777e-05,2.925154104516812e-05,8,2.4825695845720475e-05,8,6.618894599341729e-05,2.7781841470398793e-05,8
izdemir-aliaga,3.9306388706401254e-05,3.602346233068012e-06,7,1.7563082889994674e-05,7,2.1743305816406583e-05,6.823372896896063e-06,7
kardemir-karabuk,2.8926204019323148e-05,1.1512876448757585e-05,6,1.2608360702870413e-05,5,1.1211907803954091e-05,4.318906544586286e-06,4
konya-cimento,4.621622688968533e-05,1.2643088163750838e-05,7,2.0658366944796096e-05,6,2.9551435848892044e-05,5.256857864183093e-06,6
kroman-gebze,5.4643879896805934e-05,2.1101156840571265e-05,6,1.8895359711937738e-05,7,3.585676010213016e-05,1.7753283462197753e-05,6
limak-ankara,9.528277890543298e-05,3.401397011076459e-05,6,2.350576141907368e-05,3,4.8382199868986696e-05,1.2363049557523187e-05,3
limak-bitlis,2.4629833660583245e-05,4.923247454204857e-06,4,2.1524967087316328e-05,5,2.323893113498343e-06,7.228308168728433e-06,4
limak-derik,2.47859245843886e-05,6.81502570492976e-06,7,3.924337761418428e-05,7,-1.4457453029795683e-05,1.0701093202022492e-05,7
limak-ergani,2.2505965327062377e-05,5.130777346244424e-06,7,1.1722428358293005e-05,7,1.0783536968769372e-05,6.144124289871656e-06,7
limak-kurtalan,2.8043931160937062e-05,5.6172391177648704e-06,5,1.65196533089329e-05,5,1.1524277852004161e-05,7.47264100693105e-06,5
limak-sanliurfa,4.675383752328344e-05,8.51182762882887e-06,6,2.422612366596392e-05,6,2.2527713857319515e-05,9.01541908693435e-06,6
limak-trakya,2.785251217574114e-05,8.678367349280962e-06,6,2.2309121050057e-05,8,5.37209962203633e-06,7.865719660166236e-06,6
nuh-hereke,5.5815654983841036e-05,2.6543657722933832e-05,6,1.5659448503616398e-05,7,4.073514931709118e-05,2.6038034504284897e-05,6
oyak-adana,4.495536874552878e-05,2.203488513761305e-05,6,1.7633668903727084e-05,8,2.626370496727759e-05,2.261648992130711e-05,6
oyak-aslan,2.4316546841873787e-05,4.6213041021993255e-06,5,1.820942179620033e-05,7,5.473016972246114e-06,6.907067653424499e-06,5
oyak-bolu,3.304705496702809e-05,6.982091465670025e-06,5,2.2781839886322685e-05,7,8.084489672910422e-06,1.3829087255368374e-05,5
oyak-mardin,3.7201830612805985e-05,4.376582763906442e-06,6,3.417771638071697e-05,7,2.5882703387954584e-06,5.727387571443031e-06,6
oyak-unye,1.6746925818248808e-05,1.7273063006977143e-06,6,1.4291798834165093e-05,6,2.4551269840837144e-06,1.6002350812069543e-06,6
toros-ceyhan,3.2583283427811693e-05,4.843090282403429e-06,8,2.6714283649198478e-05,8,5.868999778613215e-06,7.997969761023974e-06,8
toros-mersin,2.4659234441060107e-05,3.2569013126536238e-06,6,1.2232570384185237e-05,4,1.051455512879329e-05,6.7289174247063846e-06,4
toros-samsun,2.1486875539267203e-05,3.6281342343756383e-06,8,1.7209125189765473e-05,8,4.27775034950173e-06,4.590411394734072e-06,8
tosyali-iskenderun,4.595536029228242e-05,1.8482652974812262e-05,8,3.1948333571563126e-05,8,1.4007026720719296e-05,2.3122535833023737e-05,8
tosyali-osmaniye,3.556595424925035e-05,6.0529554765764595e-06,8,1.3413986039267911e-05,8,2.2151968209982442e-05,5.529686798130739e-06,8
tosyali-sivas,1.3395310512957318e-05,5.3154793050293895e-06,6,1.1563663974811789e-05,5,2.19417161133606e-06,5.166078932840004e-06,5
yazici-iskenderun,8.112340310617583e-05,2.6053460490034944e-05,8,2.6370073328507715e-05,8,5.4753329777668114e-05,2.8743986267305705e-05,8
