id,company,scope,disclosure_url,candidate_pdfs,downloaded_pdfs,extracted_rows,pdf_filenames
akcansa-buyukcekmece,Akçansa,cement,https://www.akcansa.com.tr/en/sustainability/,0,0,0,
akcansa-canakkale,Akçansa,cement,https://www.akcansa.com.tr/en/sustainability/,0,0,0,
akcansa-ladik,Akçansa,cement,https://www.akcansa.com.tr/en/sustainability/,0,0,0,
cimsa-mersin,Çimsa,cement,https://www.cimsa.com.tr/en/sustainability,0,0,0,
cimsa-eskisehir,Çimsa,cement,https://www.cimsa.com.tr/en/sustainability,0,0,0,
cimsa-kayseri,Çimsa,cement,https://www.cimsa.com.tr/en/sustainability,0,0,0,
cimsa-nigde,Çimsa,cement,https://www.cimsa.com.tr/en/sustainability,0,0,0,
oyak-bolu,OYAK Çimento,cement,https://www.oyakcimento.com/en/sustainability,0,0,0,
oyak-unye,OYAK Çimento,cement,https://www.oyakcimento.com/en/sustainability,0,0,0,
oyak-mardin,OYAK Çimento,cement,https://www.oyakcimento.com/en/sustainability,0,0,0,
