id,region,sector,route,capacity_t,route_ef,cf,scope1_t
afyon-cimento,TR,cement,cement,1800000.0,0.643,0.611,1200000.0
akcansa-buyukcekmece,TR,cement,cement,2500000.0,0.643,0.999,1514000.0
akcansa-canakkale,TR,cement,cement,5500000.0,0.643,0.98,3466000.0
akcansa-ladik,TR,cement,cement,1000000.0,0.643,0.828,499000.0
asas-akyazi,TR,aluminum,downstream,250000.0,0.45,0.85,68618.0
assan-tuzla,TR,aluminum,downstream,360000.0,0.45,0.795,108500.0
bagfas-bandirma,TR,fertilizer,integrated-n2o-controlled,700000.0,0.05,0.499,9828.0
batisoke-soke,TR,cement,cement,4000000.0,0.643,0.55,1577926.0
bursa-cimento,TR,cement,cement,2000000.0,0.643,0.55,1121545.0
colakoglu-gebze,TR,steel,EAF,4500000.0,0.25,0.56,566519.0
erdemir-eregli,TR,steel,BF/BOF,4000000.0,2.0,0.836,6667232.0
goltas-isparta,TR,cement,cement,5000000.0,0.643,0.55,1669072.0
gubretas-izmit,TR,fertilizer,blender,800000.0,0.025,0.755,13281.0
habas-aliaga,TR,steel,EAF,4500000.0,0.25,0.856,830338.0
isdemir-iskenderun,TR,steel,BF/BOF,5300000.0,2.0,0.98,10663364.0
izdemir-aliaga,TR,steel,EAF,1500000.0,0.25,0.85,271123.0
kardemir-karabuk,TR,steel,BF/BOF,3500000.0,2.0,0.7,5650626.0
nuh-hereke,TR,cement,cement,5700000.0,0.643,0.673,3584953.0
toros-ceyhan,TR,fertilizer,integrated,821700.0,0.5,0.726,203840.0
toros-mersin,TR,fertilizer,integrated,810000.0,0.5,0.726,383150.0
toros-samsun,TR,fertilizer,integrated,575000.0,0.5,0.726,255180.0
eu-DE_99,EU,cement,cement,1400000.0,0.643,0.73,459994.0
eu-DE_94,EU,cement,cement,1100000.0,0.643,0.73,611954.0
eu-DE_75,EU,cement,cement,1200000.0,0.643,0.73,549833.0
eu-DE_79,EU,cement,cement,1500000.0,0.643,0.73,495048.0
eu-DE_81,EU,cement,cement,1800000.0,0.643,0.73,843819.0
eu-DE_82,EU,cement,cement,950000.0,0.643,0.73,392981.0
eu-DE_84,EU,cement,cement,850000.0,0.643,0.73,543135.0
eu-FR_368,EU,cement,cement,1400000.0,0.643,0.73,736209.0
eu-IT_63,EU,cement,cement,1300000.0,0.643,0.73,700973.0
eu-RO_134,EU,cement,cement,1500000.0,0.643,0.73,892484.0
eu-CZ_324,EU,cement,cement,1100000.0,0.643,0.73,460795.0
eu-CZ_325,EU,cement,cement,650000.0,0.643,0.73,390322.0
eu-IE_34,EU,cement,cement,1500000.0,0.643,0.73,989010.0
eu-DE_74,EU,cement,cement,1300000.0,0.643,0.73,982119.0
eu-FR_956,EU,steel,BF/BOF,7000000.0,2.0,0.51,5170805.0
eu-BE_GENT,EU,steel,BF/BOF,5000000.0,2.0,0.51,3690181.0
eu-DE_BREM,EU,steel,BF/BOF,4000000.0,2.0,0.51,2274086.0
eu-AT_LINZ,EU,steel,BF/BOF,5500000.0,2.0,0.51,8668217.0
eu-DE_43,EU,steel,BF/BOF,4500000.0,2.0,0.51,3337320.0
eu-DE_DUIS,EU,steel,BF/BOF,11000000.0,2.0,0.51,12307155.0
eu-NL_IJM,EU,steel,BF/BOF,7000000.0,2.0,0.51,4543687.0
eu-FI_RAA,EU,steel,BF/BOF,2500000.0,2.0,0.51,3740670.0
eu-FI_TOR,EU,steel,EAF,1600000.0,0.25,0.51,632428.0
eu-FR_DUN_AL,EU,aluminum,primary,300000.0,8.6,0.675,483577.0
eu-FR_205670,EU,aluminum,primary,130000.0,8.6,0.675,209871.0
eu-RO_36,EU,aluminum,primary,270000.0,8.6,0.675,160076.0
eu-NO_MOS,EU,aluminum,primary,190000.0,8.6,0.675,439226.0
eu-NO_LIS,EU,aluminum,primary,90000.0,8.6,0.675,119438.0
eu-IS_201349,EU,aluminum,primary,340000.0,8.6,0.675,572623.0
eu-IS_NORD,EU,aluminum,primary,320000.0,8.6,0.675,515846.0
eu-IS_201350,EU,aluminum,primary,210000.0,8.6,0.675,318368.0
eu-GB_LOC,EU,aluminum,primary,40000.0,8.6,0.675,57723.0
eu-SE_KUB,EU,aluminum,primary,130000.0,8.6,0.675,210920.0
eu-NL_SLUI,EU,fertilizer,integrated,1800000.0,0.5,0.83,2750148.0
eu-HU_153,EU,fertilizer,integrated,400000.0,0.5,0.83,713347.0
eu-BG_NEOC,EU,fertilizer,integrated,300000.0,0.5,0.83,515627.0
eu-LT_18,EU,fertilizer,integrated,500000.0,0.5,0.83,1363398.0
